WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::metropolitan-council-district', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::metropolitan-council-district/explore,234,72,1.72,54,0.08,0.38
gisdata.brla.gov,2023,"['', 'datasets', '06cdf6bc8849443290485607184da844_0', 'about']",http://gisdata.brla.gov/datasets/06cdf6bc8849443290485607184da844_0/about,93,31,2.74,93,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::bus-route', 'about']",http://gisdata.brla.gov/datasets/ebrgis::bus-route/about,178,164,3.76,178,0.36,0.36
gisdata.brla.gov,2023,"['', 'maps', 'af51192dbe9f43f9bc38f7c5a215fcc4', 'about']",http://gisdata.brla.gov/maps/af51192dbe9f43f9bc38f7c5a215fcc4/about,24,12,1.32,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', '46cba9d6e923429897c574e9dd9420d4_0', 'about']",http://gisdata.brla.gov/datasets/46cba9d6e923429897c574e9dd9420d4_0/about,301,43,12.61,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::city-council-district-zachary', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::city-council-district-zachary/explore,333,53,0.89,0,0.0,0.16
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::mobile-home-park', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::mobile-home-park/explore,418,38,8.1,0,0.0,0.09
gisdata.brla.gov,2023,"['', 'datasets', 'road-closures', 'explore']",http://gisdata.brla.gov/datasets/road-closures/explore,731,215,4.7,387,0.06,0.53
gisdata.brla.gov,2023,"['', 'datasets', 'justice-of-the-peace-district', 'explore']",http://gisdata.brla.gov/datasets/justice-of-the-peace-district/explore,16,8,25.13,8,0.0,0.5
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::zoning-overlay-district', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::zoning-overlay-district/explore,714,84,0.65,42,0.0,0.35
gisdata.brla.gov,2023,"['', 'maps', '255f887fe7804f5c85219ce0457ab5a3', 'explore']",http://gisdata.brla.gov/maps/255f887fe7804f5c85219ce0457ab5a3/explore,153,37,0.98,0,0.27,0.09
gisdata.brla.gov,2023,"['', 'maps', '00cf3275a0f844229b212f77b2f52071', 'about']",http://gisdata.brla.gov/maps/00cf3275a0f844229b212f77b2f52071/about,1015,440,5.35,877,0.5,0.35
gisdata.brla.gov,2023,"['', 'datasets', 'pontchartrain-levee-district', 'explore']",http://gisdata.brla.gov/datasets/pontchartrain-levee-district/explore,105,35,1.11,70,0.0,0.33
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::city-of-zachary', 'about']",http://gisdata.brla.gov/maps/ebrgis::city-of-zachary/about,7921,4592,9.65,7835,0.54,0.55
gisdata.brla.gov,2023,"['', 'maps', '00cf3275a0f844229b212f77b2f52071', 'explore']",http://gisdata.brla.gov/maps/00cf3275a0f844229b212f77b2f52071/explore,1722,206,1.2,0,0.66,0.04
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::adjudicated-property', 'explore']",http://gisdata.brla.gov/maps/ebrgis::adjudicated-property/explore,3096,197,0.24,99,1.57,0.05
gisdata.brla.gov,2023,"['', 'datasets', 'ada7b0e1837d4faaae3a2be903858e15', 'explore']",http://gisdata.brla.gov/datasets/ada7b0e1837d4faaae3a2be903858e15/explore,56,28,1.04,14,0.25,0.5
gisdata.brla.gov,2023,"['', 'maps', '55ec35e5a4424c7884c414b106cee1be', 'explore']",http://gisdata.brla.gov/maps/55ec35e5a4424c7884c414b106cee1be/explore,12,6,1.56,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::street-crosswalk-1', 'about']",http://gisdata.brla.gov/datasets/ebrgis::street-crosswalk-1/about,76,38,1.31,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'maps', '68c3d1291e9442b38012cf0dffddf61f', 'explore']",http://gisdata.brla.gov/maps/68c3d1291e9442b38012cf0dffddf61f/explore,182,14,0.49,0,1.92,0.0
