WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
www.brla.gov,2020,"['', '1013', 'about-the-committee']",http://www.brla.gov/1013/about-the-committee,64,58,64.43,2417,35.58,43.59
www.brla.gov,2020,"['', '165', 'arbitrator-curator-application']",http://www.brla.gov/165/arbitrator-curator-application,27,24,60.81,633,21.43,27.78
www.brla.gov,2018,"['', '151', 'about-the-animal-control-rescue-center']",http://www.brla.gov/151/about-the-animal-control-rescue-center,977,795,77.38,5684,32.71,35.09
www.brla.gov,2023,"['', '2974', 'parent-family-community-engagement']",http://www.brla.gov/2974/parent-family-community-engagement,4493,3081,94.14,877,2.97,5.92
www.brla.gov,2019,"['', 'agendacenter', 'previousversions', '_03252019-531']",http://www.brla.gov/agendacenter/previousversions/_03252019-531,1,1,10.0,0,0.0,0.0
www.brla.gov,2023,"['', '2791', 'report-recommendation-211']",http://www.brla.gov/2791/report-recommendation-211,321,209,9.73,0,0.29,0.0
www.brla.gov,2021,"['', '662', '20128', 'futurebr']",http://www.brla.gov/662/20128/futurebr,12,7,46.63,114,0.0,54.76
www.brla.gov,2023,"['', 'civicmedia']",http://www.brla.gov/civicmedia,178310,119369,62.65,191216,44.74,56.44
www.brla.gov,2021,"['', '1959', 'past-state-of-the-city-reports']",http://www.brla.gov/1959/past-state-of-the-city-reports,47,33,41.91,1853,41.07,52.5
www.brla.gov,2022,"['', '2760', 'land-use']",http://www.brla.gov/2760/land-use,2,1,17.5,0,0.0,0.0
www.brla.gov,2019,"['', '487', '1911-1988']",http://www.brla.gov/487/1911-1988,114,97,71.12,1017,16.22,27.34
www.brla.gov,2023,"['', '33']",http://www.brla.gov/33,112,111,21.85,259,0.0,0.0
www.brla.gov,2018,"['', 'dept', 'animal', 'petowner.htm']",http://www.brla.gov/dept/animal/petowner.htm,37,35,50.86,2550,81.03,81.03
www.brla.gov,2022,"['', '1343', 'open-data-policy']",http://www.brla.gov/1343/open-data-policy,429,314,45.36,1366,15.37,36.16
www.brla.gov,2018,"['', 'dept', 'planning', 'agendas', 'monthly', '2017', '12december', 'december_18_2017_agenda.pdf']",http://www.brla.gov/dept/planning/agendas/monthly/2017/12december/december_18_2017_agenda.pdf,5,5,0.0,400,80.0,100.0
www.brla.gov,2018,"['', '915']",http://www.brla.gov/915,22,20,16.53,392,36.33,46.33
www.brla.gov,2021,"['', '549', 'relocation']",http://www.brla.gov/549/relocation,194,161,48.73,1965,12.7,20.26
www.brla.gov,2019,"['', '268', '2008-cafr']",http://www.brla.gov/268/2008-cafr,18,18,151.65,200,11.76,14.71
www.brla.gov,2022,"['', '1382', 'online-ticket-payments']",http://www.brla.gov/1382/online-ticket-payments,90102,75418,193.8,59271,75.48,73.45
www.brla.gov,2019,"['', '820', 'the-pearl-george-senior-center']",http://www.brla.gov/820/the-pearl-george-senior-center,148,125,85.0,4915,45.74,52.57
www.brla.gov,2021,"['', 'agendacenter', 'metropolitan-council-3']",http://www.brla.gov/agendacenter/metropolitan-council-3,3321,2916,183.61,22299,52.41,61.02
www.brla.gov,2021,"['', 'documentcenter', 'view', '11859', 'hpc-8-21-staff-report*']",http://www.brla.gov/documentcenter/view/11859/hpc-8-21-staff-report*,1,1,8.0,100,0.0,0.0
www.brla.gov,2021,"['', 'assets', 'assets', 'images', 'toolbarcarouselarrows.png']",http://www.brla.gov/assets/assets/images/toolbarcarouselarrows.png,1,1,0.0,0,0.0,0.0
www.brla.gov,2023,"['', '2919', '2021-end-of-year-statistical-analysis']",http://www.brla.gov/2919/2021-end-of-year-statistical-analysis,38,38,23.3,0,0.0,0.0
www.brla.gov,2021,"['', '1586', '16-requests-for-funeral-leave']",http://www.brla.gov/1586/16-requests-for-funeral-leave,27,25,95.57,0,0.0,34.09
www.brla.gov,2019,"['', '1412', 'caresouth']",http://www.brla.gov/1412/caresouth,815,683,57.24,18691,71.23,69.81
www.brla.gov,2022,"['', '922', 'filling-out-the-city-parish-employment-a']",http://www.brla.gov/922/filling-out-the-city-parish-employment-a,1709,1497,97.45,4396,26.72,40.08
www.brla.gov,2020,"['', '1770', 'split-purchasing']",http://www.brla.gov/1770/split-purchasing,3,2,109.0,0,0.0,0.0
www.brla.gov,2020,"['', '2241', 'old-covid-19-page']",http://www.brla.gov/2241/old-covid-19-page,31,9,16.28,4,0.0,0.0
www.brla.gov,2019,"['', 'dataset', 'business-listings']",http://www.brla.gov/dataset/business-listings,1,1,2.0,0,0.0,0.0
www.brla.gov,2022,"['', '742', 'sales-use-tax-guidelines']",http://www.brla.gov/742/sales-use-tax-guidelines,6328,4556,71.51,17078,55.02,44.8
